,Date,Location,"Confirmed/
possible US strike",Air strike?,Drone strike,Strike type,Minimum strikes,Maximum strikes,Minimum people killed,Maximum people killed,Minimum civilians killed,Maximum civilians killed,Minimum children killed,Maximum children killed,Minimum people injured,Maximum people injured,Strike link,,Index
SOM049,04/07/2017,"Luglaw, Jubba region",Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,10,13,0,0,0,0,10,10,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM049,,49
SOM050,13/07/2017,"Kunyo Barrow, Lower Shabelle",Confirmed,0,0,Ground operation - US-Somali air assault,1,1,0,0,0,0,0,0,0,0,,,50
SOM051,15/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0,,,68
SOM052,20/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0,,,69
SOM053,21/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0,,,70
SOM054,28/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0,,,80
SOM055,29/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0,,,81
SOM056,29/07/2017,"Tortoroow, Lower Shabelle",Confirmed,1,0,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0,,,51
SOM057,10/08/2017,Banadiir region,Confirmed,1,0,Air operation - drone or airstrike,2,2,0,1,0,0,0,0,0,0,,,52
SOM058,16/08/2017,"Jillib, Middle Juba",Confirmed,1,0,"Air operation - drone or airstrike, US-Somali ground troops",1,1,7,7,0,0,0,0,0,0,,,53
SOM059,25/08/2017,"Bariire, Lower Shabelle region",Confirmed,0,0,Ground operation - Somali-led or joint operation,1,1,0,10,0,10,0,3,0,0,,,54
SOM060,31/08/2017,"Barawe, Lower Shabelle",Confirmed,1,1,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,1,1,,,55
